Date,State,Day,Cases,Deaths,Code
2020-03-10,Ohio,49,3,0,OH
2020-03-10,Oklahoma,49,2,0,OK
2020-03-10,Oregon,49,14,0,OR
2020-03-10,Pennsylvania,49,12,0,PA
2020-03-10,South Carolina,49,9,0,SC
2020-03-10,South Dakota,49,5,1,SD
2020-03-10,Tennessee,49,7,0,TN
2020-03-10,Texas,49,31,0,TX
2020-03-10,Utah,49,4,0,UT
2020-03-10,Vermont,49,1,0,VT
2020-03-10,Virginia,49,8,0,VA
2020-03-10,Washington,49,279,24,WA
2020-03-10,Wisconsin,49,3,0,WI
2020-03-11,Arizona,50,9,0,AZ
2020-03-11,Arkansas,50,1,0,AR
2020-03-11,California,50,202,4,CA
2020-03-11,Colorado,50,34,0,CO
2020-03-11,Connecticut,50,3,0,CT
2020-03-11,Delaware,50,1,0,DE
2020-03-11,District of Columbia,50,10,0,
2020-03-11,Florida,50,26,2,FL
2020-03-11,Georgia,50,31,0,GA
2020-03-11,Hawaii,50,2,0,HI
2020-03-11,Illinois,50,25,0,IL
2020-03-11,Indiana,50,11,0,IN
2020-03-11,Iowa,50,14,0,IA
2020-03-11,Kansas,50,1,0,KS
2020-03-11,Kentucky,50,7,0,KY
2020-03-11,Louisiana,50,13,0,LA
2020-03-11,Maryland,50,13,0,MD
2020-03-11,Massachusetts,50,95,0,MA
2020-03-11,Michigan,50,2,0,MI
2020-03-11,Minnesota,50,5,0,MN
2020-03-11,Mississippi,50,1,0,MS
2020-03-11,Missouri,50,1,0,MO
2020-03-11,Nebraska,50,23,0,NE
2020-03-11,Nevada,50,7,0,NV
2020-03-11,New Hampshire,50,5,0,NH
2020-03-11,New Jersey,50,23,1,NJ
2020-03-11,New Mexico,50,4,0,NM
2020-03-11,New York,50,165,0,NY
2020-03-11,North Carolina,50,8,0,NC
2020-03-11,North Dakota,50,1,0,ND
2020-03-11,Ohio,50,4,0,OH
2020-03-11,Oklahoma,50,2,0,OK
2020-03-11,Oregon,50,20,0,OR
2020-03-11,Pennsylvania,50,16,0,PA
2020-03-11,South Carolina,50,10,0,SC
2020-03-11,South Dakota,50,8,1,SD
2020-03-11,Tennessee,50,8,0,TN
2020-03-11,Texas,50,33,0,TX
2020-03-11,Utah,50,5,0,UT
2020-03-11,Vermont,50,2,0,VT
2020-03-11,Virginia,50,10,0,VA
2020-03-11,Washington,50,338,29,WA
2020-03-11,Wisconsin,50,6,0,WI
2020-03-11,Wyoming,50,1,0,WY
2020-03-12,Alaska,51,1,0,AK
2020-03-12,Arizona,51,9,0,AZ
2020-03-12,Arkansas,51,6,0,AR
2020-03-12,California,51,252,4,CA
2020-03-12,Colorado,51,49,1,CO
2020-03-12,Connecticut,51,6,0,CT
2020-03-12,Delaware,51,4,0,DE
2020-03-12,District of Columbia,51,10,0,
2020-03-12,Florida,51,46,2,FL
2020-03-12,Georgia,51,31,1,GA
2020-03-12,Hawaii,51,2,0,HI
2020-03-12,Illinois,51,32,0,IL
2020-03-12,Indiana,51,12,0,IN
2020-03-12,Iowa,51,16,0,IA
2020-03-12,Kansas,51,5,1,KS
2020-03-12,Kentucky,51,11,0,KY
2020-03-12,Louisiana,51,14,0,LA
2020-03-12,Maine,51,1,0,ME
2020-03-12,Maryland,51,13,0,MD
2020-03-12,Massachusetts,51,108,0,MA
2020-03-12,Michigan,51,12,0,MI
2020-03-12,Minnesota,51,9,0,MN
2020-03-12,Mississippi,51,1,0,MS
2020-03-12,Missouri,51,2,0,MO
2020-03-12,Nebraska,51,24,0,NE
2020-03-12,Nevada,51,11,0,NV
2020-03-12,New Hampshire,51,6,0,NH
2020-03-12,New Jersey,51,28,1,NJ
2020-03-12,New Mexico,51,6,0,NM
2020-03-12,New York,51,230,0,NY
2020-03-12,North Carolina,51,16,0,NC
2020-03-12,North Dakota,51,1,0,ND
2020-03-12,Ohio,51,5,0,OH
2020-03-12,Oklahoma,51,2,0,OK
2020-03-12,Oregon,51,30,0,OR
2020-03-12,Pennsylvania,51,22,0,PA
2020-03-12,South Carolina,51,12,0,SC
2020-03-12,South Dakota,51,8,1,SD
2020-03-12,Tennessee,51,18,0,TN
2020-03-12,Texas,51,41,0,TX
2020-03-12,Utah,51,7,0,UT
2020-03-12,Vermont,51,2,0,VT
2020-03-12,Virginia,51,17,0,VA
2020-03-12,Washington,51,419,32,WA
2020-03-12,Wisconsin,51,8,0,WI
2020-03-12,Wyoming,51,1,0,WY
2020-03-13,Alabama,52,6,0,AL
2020-03-13,Alaska,52,1,0,AK
2020-03-13,Arizona,52,9,0,AZ
2020-03-13,Arkansas,52,7,0,AR
2020-03-13,California,52,320,5,CA
2020-03-13,Colorado,52,78,2,CO
2020-03-13,Connecticut,52,11,0,CT
2020-03-13,Delaware,52,4,0,DE
2020-03-13,District of Columbia,52,10,0,
2020-03-13,Florida,52,70,2,FL
2020-03-13,Georgia,52,41,1,GA
2020-03-13,Hawaii,52,2,0,HI
2020-03-13,Idaho,52,1,0,ID
2020-03-13,Illinois,52,46,0,IL
2020-03-13,Indiana,52,12,0,IN
2020-03-13,Iowa,52,17,0,IA
2020-03-13,Kansas,52,6,1,KS
2020-03-13,Kentucky,52,11,0,KY
2020-03-13,Louisiana,52,36,0,LA
2020-03-13,Maine,52,2,0,ME
2020-03-13,Maryland,52,18,0,MD
2020-03-13,Massachusetts,52,123,0,MA
2020-03-13,Michigan,52,25,0,MI
2020-03-13,Minnesota,52,14,0,MN
2020-03-13,Mississippi,52,6,0,MS
2020-03-13,Missouri,52,4,0,MO
2020-03-13,Montana,52,4,0,MT
2020-03-13,Nebraska,52,27,0,NE
2020-03-13,Nevada,52,19,0,NV
2020-03-13,New Hampshire,52,7,0,NH
2020-03-13,New Jersey,52,49,1,NJ
2020-03-13,New Mexico,52,10,0,NM
2020-03-13,New York,52,266,0,NY
2020-03-13,North Carolina,52,18,0,NC
2020-03-13,North Dakota,52,1,0,ND
2020-03-13,Ohio,52,13,0,OH
2020-03-13,Oklahoma,52,3,0,OK
2020-03-13,Oregon,52,30,0,OR
2020-03-13,Pennsylvania,52,41,0,PA
2020-03-13,South Carolina,52,13,0,SC
2020-03-13,South Dakota,52,9,1,SD
2020-03-13,Tennessee,52,26,0,TN
2020-03-13,Texas,52,58,0,TX
2020-03-13,Utah,52,7,0,UT
2020-03-13,Vermont,52,2,0,VT
2020-03-13,Virginia,52,30,0,VA
2020-03-13,Washington,52,511,37,WA
2020-03-13,Wisconsin,52,19,0,WI
2020-03-13,Wyoming,52,2,0,WY
2020-03-14,Alabama,53,12,0,AL
2020-03-14,Alaska,53,1,0,AK
2020-03-14,Arizona,53,12,0,AZ
2020-03-14,Arkansas,53,9,0,AR
2020-03-14,California,53,381,5,CA
2020-03-14,Colorado,53,103,2,CO
2020-03-14,Connecticut,53,20,0,CT
2020-03-14,Delaware,53,4,0,DE
2020-03-14,District of Columbia,53,16,0,
2020-03-14,Florida,53,70,3,FL
2020-03-14,Georgia,53,65,1,GA
2020-03-14,Hawaii,53,4,0,HI
2020-03-14,Idaho,53,5,0,ID
2020-03-14,Illinois,53,66,0,IL
2020-03-14,Indiana,53,15,0,IN
2020-03-14,Iowa,53,18,0,IA
2020-03-14,Kansas,53,8,1,KS
2020-03-14,Kentucky,53,18,0,KY
2020-03-14,Louisiana,53,77,1,LA
2020-03-14,Maine,53,3,0,ME
2020-03-14,Maryland,53,27,0,MD
2020-03-14,Massachusetts,53,138,0,MA
2020-03-14,Michigan,53,33,0,MI
2020-03-14,Minnesota,53,21,0,MN
2020-03-14,Mississippi,53,6,0,MS
2020-03-14,Missouri,53,5,0,MO
2020-03-14,Montana,53,6,0,MT
2020-03-14,Nebraska,53,29,0,NE
2020-03-14,Nevada,53,21,0,NV
2020-03-14,New Hampshire,53,7,0,NH
2020-03-14,New Jersey,53,74,2,NJ
2020-03-14,New Mexico,53,13,0,NM
2020-03-14,New York,53,341,1,NY
2020-03-14,North Carolina,53,25,0,NC
2020-03-14,North Dakota,53,1,0,ND
